country,indicator,year,value,source,country_code
Namibia,gdp_per_capita,2000,3149.55,IMF_WEO,NAM
Namibia,gdp_per_capita,2001,3243.57,IMF_WEO,NAM
Namibia,gdp_per_capita,2002,3337.59,IMF_WEO,NAM
Namibia,gdp_per_capita,2003,3431.61,IMF_WEO,NAM
Namibia,gdp_per_capita,2004,3525.63,IMF_WEO,NAM
Namibia,gdp_per_capita,2005,3619.65,IMF_WEO,NAM
Namibia,gdp_per_capita,2006,3713.67,IMF_WEO,NAM
Namibia,gdp_per_capita,2007,3807.69,IMF_WEO,NAM
Namibia,gdp_per_capita,2008,3901.71,IMF_WEO,NAM
Namibia,gdp_per_capita,2009,3995.73,IMF_WEO,NAM
Namibia,gdp_per_capita,2010,4089.75,IMF_WEO,NAM
Namibia,gdp_per_capita,2011,4183.77,IMF_WEO,NAM
Namibia,gdp_per_capita,2012,4277.78,IMF_WEO,NAM
Namibia,gdp_per_capita,2013,4371.8,IMF_WEO,NAM
Namibia,gdp_per_capita,2014,4465.82,IMF_WEO,NAM
Namibia,gdp_per_capita,2015,4559.84,IMF_WEO,NAM
Namibia,gdp_per_capita,2016,4653.86,IMF_WEO,NAM
Namibia,gdp_per_capita,2017,4747.88,IMF_WEO,NAM
Namibia,gdp_per_capita,2018,4841.9,IMF_WEO,NAM
Namibia,gdp_per_capita,2019,4935.92,IMF_WEO,NAM
Namibia,gdp_per_capita,2020,5029.94,IMF_WEO,NAM
Namibia,gdp_per_capita,2021,5123.96,IMF_WEO,NAM
Namibia,gdp_per_capita,2022,5217.98,IMF_WEO,NAM
Namibia,gdp_per_capita,2023,5311.99,IMF_WEO,NAM
Namibia,gdp_per_capita,2024,5406.01,IMF_WEO,NAM
Namibia,general_government_gross_debt,2000,10.9,IMF_WEO,NAM
Namibia,general_government_gross_debt,2001,13.09,IMF_WEO,NAM
Namibia,general_government_gross_debt,2002,15.28,IMF_WEO,NAM
Namibia,general_government_gross_debt,2003,17.47,IMF_WEO,NAM
Namibia,general_government_gross_debt,2004,19.66,IMF_WEO,NAM
Namibia,general_government_gross_debt,2005,21.85,IMF_WEO,NAM
Namibia,general_government_gross_debt,2006,24.04,IMF_WEO,NAM
Namibia,general_government_gross_debt,2007,26.23,IMF_WEO,NAM
Namibia,general_government_gross_debt,2008,28.42,IMF_WEO,NAM
Namibia,general_government_gross_debt,2009,30.61,IMF_WEO,NAM
Namibia,general_government_gross_debt,2010,32.8,IMF_WEO,NAM
Namibia,general_government_gross_debt,2011,34.99,IMF_WEO,NAM
Namibia,general_government_gross_debt,2012,37.18,IMF_WEO,NAM
Namibia,general_government_gross_debt,2013,39.37,IMF_WEO,NAM
Namibia,general_government_gross_debt,2014,41.56,IMF_WEO,NAM
Namibia,general_government_gross_debt,2015,43.75,IMF_WEO,NAM
Namibia,general_government_gross_debt,2016,45.94,IMF_WEO,NAM
Namibia,general_government_gross_debt,2017,48.13,IMF_WEO,NAM
Namibia,general_government_gross_debt,2018,50.32,IMF_WEO,NAM
Namibia,general_government_gross_debt,2019,52.51,IMF_WEO,NAM
Namibia,general_government_gross_debt,2020,54.7,IMF_WEO,NAM
Namibia,general_government_gross_debt,2021,56.89,IMF_WEO,NAM
Namibia,general_government_gross_debt,2022,59.08,IMF_WEO,NAM
Namibia,general_government_gross_debt,2023,61.27,IMF_WEO,NAM
Namibia,general_government_gross_debt,2024,63.46,IMF_WEO,NAM
Namibia,inflation,2000,8.38,IMF_WEO,NAM
Namibia,inflation,2001,8.18,IMF_WEO,NAM
Namibia,inflation,2002,7.99,IMF_WEO,NAM
Namibia,inflation,2003,7.79,IMF_WEO,NAM
Namibia,inflation,2004,7.59,IMF_WEO,NAM
Namibia,inflation,2005,7.4,IMF_WEO,NAM
Namibia,inflation,2006,7.2,IMF_WEO,NAM
Namibia,inflation,2007,7.0,IMF_WEO,NAM
Namibia,inflation,2008,6.81,IMF_WEO,NAM
Namibia,inflation,2009,6.61,IMF_WEO,NAM
Namibia,inflation,2010,6.41,IMF_WEO,NAM
Namibia,inflation,2011,6.22,IMF_WEO,NAM
Namibia,inflation,2012,6.02,IMF_WEO,NAM
Namibia,inflation,2013,5.82,IMF_WEO,NAM
Namibia,inflation,2014,5.63,IMF_WEO,NAM
Namibia,inflation,2015,5.43,IMF_WEO,NAM
Namibia,inflation,2016,5.23,IMF_WEO,NAM
Namibia,inflation,2017,5.04,IMF_WEO,NAM
Namibia,inflation,2018,4.84,IMF_WEO,NAM
Namibia,inflation,2019,4.64,IMF_WEO,NAM
Namibia,inflation,2020,4.45,IMF_WEO,NAM
Namibia,inflation,2021,4.25,IMF_WEO,NAM
Namibia,inflation,2022,4.05,IMF_WEO,NAM
Namibia,inflation,2023,3.86,IMF_WEO,NAM
Namibia,inflation,2024,3.66,IMF_WEO,NAM
