Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,1/28/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.43147208,73.60323887,73.45003647,72.29117746,73.8002594,70.80674404,74.39836355,77.47216448,78.4501607,74.64842088,75.73924157,77.33519177,78.10313338,75.94850397,82.07726922,86.7451711,87.51918773,86.91555604,84.75318718,82.47034753,78.31063147,78.3789649,78.89163764,79.60550278,81.90290803,91.62057016,84.63307738,79.21271721,70.15605551,65.49945776
Africa Eastern and Southern,AFE,Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.4125668,109.7407071,119.456991,119.2855187,
Africa Western and Central,AFW,Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.8015771,65.74483898,55.59435037,49.88093202,46.78940542,47.9322929,47.57168009,58.35174747,53.44519808,53.42963393,53.91679572,59.89139648,66.67801076,73.57290786,67.56294215,65.56692878,62.2244408,61.71838848,71.54861644,66.64207946,70.68568127,76.0732469,77.46418243
Albania,ALB,Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,67.41542106,65.69482138,68.9839825,68.93471156,72.71102651,71.96426485,72.033976,74.29007165,76.62574094,73.63775859,81.86802235,117.0999081,186.9121236,138.4916411,115.8061214,99.17227255,100.2739767,104.8888988,101.8864464,92.67704055,88.50818004,84.7922677,87.07375735,87.77332589,85.60248663,85.84633974,85.84576861,89.9813852,92.77755268,91.59164984,87.82005099,88.75244176,89.03178856,88.95517666,90.57973306,89.3273379,89.86056798,87.12619701,86.34076197,88.22230587,88.22084317,84.65203182,83.501527,82.07556467,81.93340241
Andorra,AND,Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.04352361,71.51918195,68.3241042,69.50849161,64.21538172,62.9445816,66.83077504,65.67968423,62.52175002,49.22281832,45.96378527,39.93114909,42.44880533,45.29695792,51.85546382,52.25156405,52.21289999,48.8332441,50.35960526,60.16760549,54.52200784,53.88357544,57.08920919,
Argentina,ARG,Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,79.03647919,70.10069283,79.24613952,82.01337388,75.90075081,75.49703163,77.79422557,76.28643262,77.22876308,76.00940298,74.69422201,76.48769208,75.74856529,77.20301839,77.12610694,70.71378387,66.01676768,66.76881294,69.30685262,73.9620337,76.16394319,77.75979225,75.675552,75.79687643,77.20249836,76.94816211,80.7003135,80.14769225,78.04019377,78.00643796,80.27480201,83.76598498,84.83219625,82.71634104,83.10880935,81.91024438,81.02540531,81.38838523,81.54813119,83.86547652,83.11620311,83.06825862,74.13367116,74.63586321,75.44613692,75.17125338,75.69960343,75.5205568,76.70809674,78.88204443,79.39783265,79.9092778,81.54883692,82.79380332,82.33295546,84.0042171,83.37646965,84.43646724,85.27527944,82.57082789,82.57771419,78.86898198,81.63125767,81.93676012,81.60167238
